Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
,KOS,LON:KOS,Kosmos Energy Ltd,,483.00,"2,277.4",2843437553,472,1954,461,"8,28","0,02",FALSE,FALSE
145,SSON,LON:SSON,Smithson Investment Trust,FTSE 250,"1,402.00","2,210.2",2117884032,1408,512714,584080,1458,"6,08",FALSE,FALSE
146,WIZZ,LON:WIZZ,Wizz Air Holding,FTSE 250,"2,138.00","2,209.8",2262970384,2188,147378,276753,3229,-18,FALSE,FALSE
147,HBR,LON:HBR,Harbour Energy,FTSE 250,283.10,"2,180.9",2351180471,"304,2",546682,2131643,"328,9","1,4",FALSE,FALSE
148,HGT,LON:HGT,HgCapital Trust,FTSE 250,475.00,"2,174.2",2288838819,"499,72",528971,591760,504,"3,22",FALSE,FALSE
149,BVIC,LON:BVIC,Britvic,FTSE 250,863.50,"2,154.3",2280237146,914,62283,339407,950,5,FALSE,FALSE
150,BYG,LON:BYG,Big Yellow Group,FTSE 250,"1,088.00","2,134.6",2229411360,1136,280790,237139,1260,8,FALSE,FALSE
151,RDW,LON:RDW,Redrow,FTSE 250,644.00,"2,130.2",2337222152,706,242130,1027866,"5,08","0,03",FALSE,FALSE
152,NETW,LON:NETW,Network International Holdings,FTSE 250,394.00,"2,099.0",2078808648,"391,36",457241,899974,398,"-0,84",FALSE,FALSE
153,INDV,LON:INDV,Indivior,FTSE 250,"1,520.00","2,074.7",1928194840,1430,115814,313148,"26,5","0,11",FALSE,FALSE
154,CTY,LON:CTY,City of London Investment Trust,FTSE 250,411.00,"2,066.0",2117905636,"424,5",562706,865134,429,0,FALSE,FALSE
155,SRP,LON:SRP,Serco Group,FTSE 250,182.00,"2,008.5",2013656986,"185,5",3615724,2252232,"193,1",2,FALSE,FALSE
156,ENOG,LON:ENOG,Energean,FTSE 250,"1,086.00","1,992.6",2180657912,1193,97815,415393,1260,"19,45",FALSE,FALSE
,ROO,LON:ROO,Deliveroo Holdings,,130.00,"1,981.4",2225270929,"137,6",800216,2022666,"149,4","3,5",FALSE,FALSE
158,DNLM,LON:DNLM,Dunelm Group,FTSE 250,969.50,"1,959.9",2062568970,"1019,01",160175,336005,"1335,53","4,5",FALSE,FALSE
159,BBY,LON:BBY,Balfour Beatty,FTSE 250,364.60,"1,958.6",2035226950,"384,4",371690,846817,"86,11","1,25",FALSE,FALSE
160,DRX,LON:DRX,Drax Group,FTSE 250,508.00,"1,954.2",2097852925,"542,5",936050,1218284,"644,6",-1,FALSE,FALSE
